Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,Average,TRUE
EMP1004,Frank,Williams,25,"Cloud Tech-Florida",Active,2022-01-05,109324.61,frank.williams@example.com,Poor,FALSE
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,Excellent,TRUE
EMP1024,Bob,Brown,30,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,Good,TRUE
EMP1034,Heidi,Miller,30,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,Excellent,TRUE
EMP1045,Alice,Brown,25,"HR-New York",Pending,2021-06-20,61310.74,alice.brown@example.com,Average,TRUE
EMP1047,Alice,Davis,35,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,Average,TRUE
EMP1058,David,Williams,35,Finance-Texas,Pending,2021-11-07,93620.88,david.williams@example.com,Good,FALSE
EMP1062,Frank,Jones,40,Finance-Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,Excellent,TRUE
EMP1063,Charlie,Smith,25,HR-Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,Poor,FALSE
EMP1068,Bob,Brown,40,Admin-Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,Poor,TRUE
EMP1076,David,Brown,40,Admin-California,Inactive,2022-09-21,52031.74,david.brown@example.com,Good,TRUE
EMP1084,Bob,Davis,30,HR-Texas,Pending,2020-02-22,115022.10,bob.davis@example.com,Good,FALSE
EMP1094,David,Miller,40,Finance-Illinois,Active,2023-11-15,83326.52,david.miller@example.com,Average,TRUE
EMP1097,Frank,Brown,40,HR-California,Inactive,2021-04-17,58445.91,frank.brown@example.com,Excellent,FALSE
EMP1100,Charlie,Davis,35,"Cloud Tech-Texas",Pending,2021-08-21,98819.22,charlie.davis@example.com,Good,FALSE
EMP1105,Heidi,Johnson,35,Sales-Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,Poor,FALSE
EMP1107,Bob,Brown,30,"Cloud Tech-Florida",Inactive,2023-11-12,91566.78,bob.brown@example.com,Good,TRUE
EMP1112,Heidi,Garcia,40,"Cloud Tech-Illinois",Active,2024-12-26,80242.01,heidi.garcia@example.com,Good,TRUE
EMP1118,Frank,Garcia,25,Finance-Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,Poor,FALSE
EMP1119,Alice,Jones,30,Sales-California,Pending,2024-03-29,84894.52,alice.jones@example.com,Excellent,TRUE
EMP1125,Bob,Garcia,35,Finance-California,Pending,2021-07-01,107438.46,bob.garcia@example.com,Good,TRUE
EMP1135,Eva,Jones,25,"Cloud Tech-California",Active,2021-08-23,75092.43,eva.jones@example.com,Excellent,TRUE
EMP1143,Eva,Garcia,30,Sales-California,Active,2023-07-27,63309.24,eva.garcia@example.com,Good,FALSE
EMP1147,Eva,Williams,35,"Cloud Tech-Florida",Active,2020-10-15,102790.60,eva.williams@example.com,Good,FALSE
EMP1151,Heidi,Williams,35,DevOps-Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,Average,TRUE
EMP1166,Frank,Garcia,40,Sales-Illinois,Inactive,2022-07-18,85388.58,frank.garcia@example.com,Poor,TRUE
EMP1168,Heidi,Davis,40,Finance-Nevada,Active,2021-10-02,79873.48,heidi.davis@example.com,Average,FALSE
EMP1169,Frank,Miller,30,DevOps-Florida,Active,2020-07-05,108224.03,frank.miller@example.com,Poor,TRUE
EMP1174,David,Garcia,40,Sales-Illinois,Pending,2023-10-14,94988.94,david.garcia@example.com,Good,FALSE
EMP1178,Frank,Smith,35,DevOps-California,Pending,2023-05-06,55946.99,frank.smith@example.com,Average,FALSE
EMP1184,Frank,Smith,25,Finance-Nevada,Active,2022-06-12,51311.91,frank.smith@example.com,Excellent,FALSE
EMP1186,Grace,Johnson,25,"HR-New York",Pending,2022-07-31,108241.81,grace.johnson@example.com,Excellent,TRUE
EMP1191,Heidi,Williams,40,Sales-Illinois,Inactive,2023-10-26,114690.80,heidi.williams@example.com,Poor,TRUE
EMP1195,Grace,Johnson,40,Sales-Illinois,Pending,2020-03-25,81481.36,grace.johnson@example.com,Excellent,FALSE
EMP1200,Frank,Davis,25,Sales-Nevada,Inactive,2021-08-04,67639.70,frank.davis@example.com,Excellent,TRUE
EMP1205,Heidi,Jones,30,"Admin-New York",Active,2020-06-07,70705.45,heidi.jones@example.com,Good,FALSE
EMP1209,David,Jones,35,DevOps-Illinois,Inactive,2022-08-03,103860.70,david.jones@example.com,Average,TRUE
EMP1218,Heidi,Garcia,25,"Cloud Tech-Florida",Pending,2023-01-02,51150.47,heidi.garcia@example.com,Excellent,FALSE
EMP1224,Heidi,Johnson,40,"DevOps-New York",Active,2020-05-09,100123.15,heidi.johnson@example.com,Average,FALSE
EMP1231,Grace,Brown,30,DevOps-Florida,Inactive,2022-07-04,52964.86,grace.brown@example.com,Good,TRUE
EMP1233,Grace,Brown,35,Sales-Nevada,Pending,2020-11-23,116695.26,grace.brown@example.com,Good,FALSE
EMP1247,David,Smith,35,Sales-California,Active,2021-05-28,63741.13,david.smith@example.com,Poor,TRUE
EMP1250,Alice,Miller,25,"Cloud Tech-Texas",Pending,2024-04-28,90373.99,alice.miller@example.com,Good,FALSE
EMP1253,Charlie,Jones,40,Finance-Florida,Inactive,2021-02-21,73813.48,charlie.jones@example.com,Average,FALSE
EMP1259,Alice,Williams,35,Finance-Illinois,Pending,2023-10-09,82941.08,alice.williams@example.com,Poor,FALSE
EMP1260,Bob,Smith,40,Admin-California,Pending,2022-01-19,103469.97,bob.smith@example.com,Good,TRUE
EMP1274,Frank,Smith,35,Sales-Florida,Active,2021-05-19,69530.45,frank.smith@example.com,Poor,TRUE
EMP1275,Eva,Brown,35,"DevOps-New York",Pending,2023-12-14,84230.22,eva.brown@example.com,Good,TRUE
EMP1277,Frank,Miller,30,HR-Texas,Inactive,2024-01-02,55532.06,frank.miller@example.com,Excellent,TRUE
EMP1279,Charlie,Johnson,25,Sales-Nevada,Pending,2021-05-05,66972.06,charlie.johnson@example.com,Good,TRUE
EMP1295,David,Brown,30,DevOps-Illinois,Active,2022-12-12,81272.36,david.brown@example.com,Poor,FALSE
EMP1297,Charlie,Davis,35,Sales-Florida,Active,2023-10-25,64378.10,charlie.davis@example.com,Poor,FALSE
EMP1301,Alice,Smith,25,Finance-Texas,Inactive,2022-04-17,62598.69,alice.smith@example.com,Average,TRUE
EMP1310,Frank,Garcia,30,"HR-New York",Pending,2022-12-03,65472.99,frank.garcia@example.com,Good,FALSE
EMP1322,Frank,Brown,35,Finance-Texas,Pending,2024-11-04,65489.19,frank.brown@example.com,Average,TRUE
EMP1334,Grace,Miller,40,Finance-Illinois,Inactive,2020-04-24,94572.37,grace.miller@example.com,Good,FALSE
EMP1336,Alice,Jones,30,Admin-Nevada,Pending,2022-08-31,68976.65,alice.jones@example.com,Poor,TRUE
EMP1364,Bob,Davis,30,HR-California,Inactive,2022-07-21,104898.90,bob.davis@example.com,Excellent,TRUE
EMP1377,Alice,Smith,35,"Cloud Tech-Florida",Active,2021-02-03,107065.12,alice.smith@example.com,Average,FALSE
EMP1380,Charlie,Garcia,40,Sales-Nevada,Inactive,2023-01-30,85756.42,charlie.garcia@example.com,Average,TRUE
EMP1385,David,Garcia,25,Sales-California,Pending,2021-07-29,91780.04,david.garcia@example.com,Poor,TRUE
EMP1395,David,Brown,30,DevOps-California,Active,2024-11-25,115290.79,david.brown@example.com,Poor,FALSE
EMP1396,Frank,Garcia,35,"Cloud Tech-California",Pending,2023-08-21,61586.76,frank.garcia@example.com,Excellent,FALSE
EMP1400,Bob,Garcia,25,HR-California,Inactive,2020-10-07,76790.47,bob.garcia@example.com,Excellent,TRUE
